구분,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계,
국보,167 ,7 ,4 ,1 ,2 ,1 ,2 ,-,13 ,13 ,13 ,30 ,10 ,23 ,56 ,17 ,-,359 ,
보물,765 ,59 ,88 ,28 ,18 ,11 ,10 ,3 ,201 ,88 ,100 ,136 ,110 ,213 ,386 ,193 ,7 ,"2,416 ",
사적,70 ,6 ,11 ,20 ,2 ,1 ,6 ,-,70 ,22 ,19 ,51 ,44 ,46 ,102 ,56 ,7 ,533 ,
명승,3 ,2 ,-,1 ,1 ,-,1 ,-,6 ,26 ,10 ,3 ,12 ,29 ,18 ,15 ,9 ,136 ,
천연기념물,12 ,7 ,2 ,14 ,2 ,2 ,3 ,2 ,22 ,46 ,23 ,18 ,34 ,62 ,73 ,46 ,49 ,417 ,
국가무형유산,30 ,5 ,-,5 ,1 ,-,-,-,14 ,3 ,4 ,4 ,9 ,12 ,10 ,16 ,5 ,118 ,
국가민속문화유산,42 ,2 ,6 ,-,3 ,2 ,2 ,1 ,24 ,11 ,21 ,25 ,14 ,38 ,98 ,13 ,9 ,311 ,
국가등록문화유산,231 ,22 ,14 ,10 ,22 ,23 ,7 ,2 ,103 ,54 ,32 ,77 ,92 ,119 ,66 ,68 ,26 ,968 ,
시도유형문화유산,549 ,216 ,99 ,76 ,31 ,57 ,43 ,22 ,346 ,183 ,350 ,222 ,275 ,271 ,505 ,916 ,40 ,"4,201 ",
시도무형유산,56 ,25 ,17 ,31 ,22 ,25 ,8 ,4 ,71 ,44 ,28 ,55 ,64 ,54 ,52 ,40 ,23 ,619 ,
시도기념물 및 시도자연유산,40 ,52 ,20 ,62 ,24 ,47 ,45 ,11 ,187 ,81 ,138 ,169 ,135 ,200 ,156 ,272 ,128 ,"1,767 ",
시도민속문화유산,35 ,19 ,6 ,3 ,9 ,2 ,2 ,-,14 ,4 ,20 ,28 ,36 ,43 ,153 ,21 ,82 ,477 ,
시도등록문화유산,20 ,6 ,-,9 ,-,2 ,1 ,1 ,23 ,-,5 ,3 ,12 ,-,1 ,1 ,11 ,95 ,
문화유산자료 및 자연유산자료,83 ,128 ,66 ,26 ,31 ,63 ,34 ,16 ,193 ,148 ,96 ,313 ,160 ,251 ,585 ,704 ,10 ,"2,907 ",
총계,334 ,156 ,80 ,45 ,53 ,88 ,42 ,19 ,319 ,202 ,133 ,393 ,264 ,370 ,652 ,773 ,47 ,"3,970 ",
,,,,,,,,,,,,,,,,,,,
